iter,time,Atmosphere0,Atmosphere1,Atmosphere2,Oceans0,Oceans1,Oceans2,OCrust0,OCrust1,OCrust2,UMantle0,UMantle1,UMantle2,LMantle0,LMantle1,LMantle2,CCrust0,CCrust1,CCrust2,AbioticFixation0,AbioticFixation1,FreundlichAdsorption0,HydrothermalCirculation0,HydrothermalCirculation1,Subduction0,Volcanism0,Volcanism1,Volcanism2,Convection0,Erosion0,Erosion1,Henry0,Henry1
72000,360,2.085372e+18,0,0,9.3437122e+15,6.9780263e+16,1.5210918e+19,0,0,1.2132535e+19,0,0,1.429516e+18,0,0,2.2819086e+18,0,0,6.8062675e+17,2.0855118e+10,8342026.4,1.2201778e+11,2.0883971e+10,2796404.1,1.1525905e+11,2.0013226e+10,8.0052903e+10,1.5973387e+10,1.5212745e+10,5.9644352e+09,0.17359787,-1008810.3,1
74000,370,2.0772771e+18,0,0,9.3074406e+15,6.9505401e+16,1.5219033e+19,0,0,1.2139009e+19,0,0,1.429345e+18,0,0,2.2749048e+18,0,0,6.8161777e+17,2.077416e+10,8309643.2,1.219945e+11,2.0800321e+10,2785362.6,1.1532056e+11,2.001083e+10,8.0043322e+10,1.5924356e+10,1.5280981e+10,5.9731199e+09,0.17786453,-669204.58,1
76000,380,2.0699304e+18,0,0,9.2745211e+15,6.9256281e+16,1.5226119e+19,0,0,1.2144661e+19,0,0,1.4292213e+18,0,0,2.2689827e+18,0,0,6.825546e+17,2.0700684e+10,8280252.9,1.219744e+11,2.0724385e+10,2775325.9,1.1537426e+11,2.0009098e+10,8.0036393e+10,1.5882898e+10,1.5339088e+10,5.9813297e+09,0.1821312,-359030.05,1
78000,390,2.0632664e+18,0,0,9.2446614e+15,6.9030667e+16,1.5232307e+19,0,0,1.2149598e+19,0,0,1.4291358e+18,0,0,2.2639788e+18,0,0,6.8343811e+17,2.0634037e+10,8253594.2,1.2195705e+11,2.0655494e+10,2766206,1.1542116e+11,2.0007902e+10,8.0031608e+10,1.5847868e+10,1.5388545e+10,5.9890723e+09,0.18639787,-76028.437,1
80000,400,2.0572252e+18,0,0,9.2175916e+15,6.8826497e+16,1.5237715e+19,0,0,1.2153912e+19,0,0,1.4290811e+18,0,0,2.2597539e+18,0,0,6.8426957e+17,2.0573618e+10,8229426.5,1.2194206e+11,2.0593028e+10,2757922.1,1.1546214e+11,2.0007136e+10,8.0028543e+10,1.5818291e+10,1.5430618e+10,5.9963587e+09,0.19066453,181934.52,1
82000,410,2.0517512e+18,0,0,9.1930636e+15,6.864187e+16,1.5242441e+19,0,0,1.2157682e+19,0,0,1.4290508e+18,0,0,2.2561893e+18,0,0,6.8505057e+17,2.0518871e+10,8207528,1.2192911e+11,2.0536417e+10,2750399.8,1.1549796e+11,2.0006712e+10,8.0026848e+10,1.5793336e+10,1.5466386e+10,6.003203e+09,0.1949312,416866.54,1
84000,420,2.0467935e+18,0,0,9.1708493e+15,6.8475038e+16,1.5246574e+19,0,0,1.2160979e+19,0,0,1.4290399e+18,0,0,2.2531842e+18,0,0,6.8578292e+17,2.0469289e+10,8187695.2,1.2191793e+11,2.0485137e+10,2743570.7,1.1552929e+11,2.0006558e+10,8.0026234e+10,1.5772299e+10,1.5496775e+10,6.0096209e+09,0.19919787,630648.59,1
86000,430,2.0423055e+18,0,0,9.1507395e+15,6.8324399e+16,1.525019e+19,0,0,1.2163864e+19,0,0,1.429044e+18,0,0,2.2506527e+18,0,0,6.8646858e+17,2.0424404e+10,8169741.2,1.2190827e+11,2.0438709e+10,2737372,1.1555669e+11,2.0006616e+10,8.0026463e+10,1.5754577e+10,1.5522575e+10,6.0156297e+09,0.20346453,825036.71,1
88000,440,2.0382444e+18,0,0,9.1325424e+15,6.8188481e+16,1.5253355e+19,0,0,1.2166388e+19,0,0,1.4290596e+18,0,0,2.2485219e+18,0,0,6.8710963e+17,2.0383788e+10,8153495,1.2189992e+11,2.039669e+10,2731746.4,1.1558068e+11,2.0006835e+10,8.0027339e+10,1.573966e+10,1.5544459e+10,6.0212475e+09,0.2077312,1001665.1,1
90000,450,2.0345711e+18,0,0,9.1160828e+15,6.806594e+16,1.5256126e+19,0,0,1.2168599e+19,0,0,1.429084e+18,0,0,2.2467299e+18,0,0,6.877082e+17,2.0347051e+10,8138799.9,1.2189271e+11,2.0358678e+10,2726641.2,1.1560168e+11,2.0007176e+10,8.0028704e+10,1.5727115e+10,1.5563007e+10,6.026493e+09,0.21199787,1162050.5,1
